"rgn_id","year","RMB/L"
1,2010,6.05
1,2011,7.06
1,2012,7.62
1,2013,7.03
1,2014,6.1
2,2010,6.26
2,2011,7.27
2,2012,7.59
2,2013,7.26
2,2014,6.18
3,2010,6.16
3,2011,7.17
3,2012,7.58
3,2013,7.26
3,2014,6.18
4,2010,6.16
4,2011,7.17
4,2012,7.59
4,2013,7.25
4,2014,6.18
5,2010,6.13
5,2011,7.13
5,2012,7.54
5,2013,7.22
5,2014,6.15
6,2010,6.5
6,2011,7.6
6,2012,7.92
6,2013,7.66
6,2014,6.62
7,2010,6.24
7,2011,7.24
7,2012,7.55
7,2013,7.24
7,2014,6.17
8,2010,6.08
8,2011,7.08
8,2012,7.49
8,2013,7.25
8,2014,6.5
9,2010,6.33
9,2011,7.33
9,2012,7.76
9,2013,7.44
9,2014,6.51
10,2010,6.08
10,2011,7.08
10,2012,7.52
10,2013,7.31
10,2014,6.25
11,2010,6.23
11,2011,7.23
11,2012,7.68
11,2013,7.66
11,2014,6.59
