"rgn_id","year","individual"
1,2003,182376
1,2004,178996
1,2005,202298
1,2006,185541
1,2007,179061
1,2008,304610
1,2009,312272
1,2010,286158
1,2011,320704
1,2012,317448
1,2013,313506
2,2003,102198
2,2004,102827
2,2005,112740
2,2006,112727
2,2007,85539
2,2008,114156
2,2009,113071
2,2010,110178
2,2011,113485
2,2012,116612
2,2013,117403
3,2003,7149
3,2004,7399
3,2005,11601
3,2006,11359
3,2007,11280
3,2008,16954
3,2009,8191
3,2010,9033
3,2011,8713
3,2012,7264
3,2013,7264
4,2003,622899
4,2004,577767
4,2005,550788
4,2006,446725
4,2007,413203
4,2008,444418
4,2009,438524
4,2010,470307
4,2011,448007
4,2012,402658
4,2013,394337
5,2003,128682
5,2004,127919
5,2005,119029
5,2006,118015
5,2007,123830
5,2008,137772
5,2009,122820
5,2010,125386
5,2011,110802
5,2012,98063
5,2013,95236
6,2003,3339
6,2004,3312
6,2005,4855
6,2006,6650
6,2007,4947
6,2008,5053
6,2009,4929
6,2010,4980
6,2011,4771
6,2012,4909
6,2013,4027
7,2003,452461
7,2004,383297
7,2005,324398
7,2006,325750
7,2007,334746
7,2008,317109
7,2009,309267
7,2010,337878
7,2011,326781
7,2012,324034
7,2013,319559
8,2003,870018
8,2004,902792
8,2005,877543
8,2006,837435
8,2007,853808
8,2008,901395
8,2009,892096
8,2010,834869
8,2011,827615
8,2012,818372
8,2013,818839
9,2003,671426
9,2004,660120
9,2005,652658
9,2006,664033
9,2007,650178
9,2008,707087
9,2009,707445
9,2010,720967
9,2011,718351
9,2012,719572
9,2013,710003
10,2003,119777
10,2004,105018
10,2005,105397
10,2006,114224
10,2007,114405
10,2008,113200
10,2009,112000
10,2010,112061
10,2011,87485
10,2012,87620
10,2013,87652
11,2003,300592
11,2004,275000
11,2005,270658
11,2006,258759
11,2007,297916
11,2008,297490
11,2009,297490
11,2010,265711
11,2011,265801
11,2012,265634
11,2013,258208
