"","rgn_id","year","Bt"
"1",1,1994,2546314.96117732
"2",1,1995,2824482.38078751
"3",1,1996,3645862.14919358
"4",1,1997,3931001.37723889
"5",1,1998,4032404.9513677
"6",1,1999,3308156.35952621
"7",1,2000,2963093.9560872
"8",1,2001,2867265.83464729
"9",1,2002,2742582.58023997
"10",1,2003,2707425.89249237
"11",1,2004,2776363.59959542
"12",1,2005,2713789.85531412
"13",1,2006,2644765.70086158
"14",1,2007,2150853.75226095
"15",1,2008,1775569.56363412
"16",1,2009,1657081.87273638
"17",1,2010,1675196.87751185
"18",1,2011,1776052.34070838
"19",1,2012,1870394.58989646
"20",2,1994,59504459.6439721
"21",2,1995,69362494.4751695
"22",2,1996,85100312.6160205
"23",2,1997,90167075.7230712
"24",2,1998,105082741.979105
"25",2,1999,100882537.512794
"26",2,2000,103020753.060581
"27",2,2001,95154618.7154545
"28",2,2002,92388779.0140149
"29",2,2003,95503019.8004992
"30",2,2004,102136109.741849
"31",2,2005,108986029.742579
"32",2,2006,107220398.665473
"33",2,2007,94914147.2435586
"34",2,2008,83405665.9737708
"35",2,2009,83148498.7758873
"36",2,2010,83849884.3146251
"37",2,2011,85265560.7558894
"38",2,2012,89238883.4183208
"39",3,1994,-53056.1354461374
"40",3,1995,-72693.614152606
"41",3,1996,-72080.1987674949
"42",3,1997,-84872.8475258674
"43",3,1998,-79302.3054199548
"44",3,1999,-82740.7698047387
"45",3,2000,-67256.1278820035
"46",3,2001,-69329.1054652188
"47",3,2002,-89327.2298576513
"48",3,2003,-84714.3540303276
"49",3,2004,-81812.6035009772
"50",3,2005,-100668.097690098
"51",3,2006,-86877.1134884283
"52",3,2007,-119127.343789545
"53",3,2008,-73477.7410646755
"54",3,2009,-54451.4235816512
"55",3,2010,-52408.5934498444
"56",3,2011,-56671.3593095495
"57",3,2012,-44851.5285267525
"58",4,1994,11888366.0489152
"59",4,1995,9899258.24453373
"60",4,1996,14190144.8532542
"61",4,1997,15466708.7279826
"62",4,1998,16078874.1993709
"63",4,1999,15962090.8285861
"64",4,2000,14098178.8723952
"65",4,2001,11874410.2957238
"66",4,2002,11119632.1863825
"67",4,2003,11008447.0045578
"68",4,2004,12215893.0203218
"69",4,2005,11455846.3888165
"70",4,2006,11519773.7751664
"71",4,2007,12193354.1816915
"72",4,2008,11643962.0739628
"73",4,2009,11018461.8881121
"74",4,2010,10161229.8977668
"75",4,2011,9900795.45778831
"76",4,2012,10520147.7131037
"77",5,1994,5171702.39024255
"78",5,1995,5591039.97005018
"79",5,1996,5573505.07780388
"80",5,1997,5242993.67374653
"81",5,1998,5458753.57836202
"82",5,1999,5181931.84467359
"83",5,2000,4928321.02236035
"84",5,2001,5533905.39305808
"85",5,2002,5942032.25976749
"86",5,2003,5406837.79699301
"87",5,2004,5545754.38232152
"88",5,2005,5451132.62646877
"89",5,2006,5465845.11850555
"90",5,2007,5431141.24915774
"91",5,2008,5497003.82295637
"92",5,2009,5568812.21700774
"93",5,2010,5764152.25201963
"94",5,2011,5109174.71695071
"95",5,2012,5136728.99820129
"96",6,1994,-319266.95231506
"97",6,1995,-380137.753254444
"98",6,1996,-296276.939722954
"99",6,1997,-334373.854949957
"100",6,1998,-247789.220310631
"101",6,1999,-271421.966386068
"102",6,2000,-265352.752562533
"103",6,2001,-224272.100945646
"104",6,2002,-216474.69426352
"105",6,2003,-347861.766357679
"106",6,2004,-364763.149020528
"107",6,2005,-415470.050640632
"108",6,2006,-423716.662401608
"109",6,2007,-884323.965386653
"110",6,2008,-120305.136277517
"111",6,2009,-122439.701380581
"112",6,2010,-138260.60706398
"113",6,2011,-132783.843094641
"114",6,2012,-133403.621595569
"115",7,1994,53467693.7767202
"116",7,1995,51346520.3643885
"117",7,1996,49972766.0231982
"118",7,1997,56054357.9569638
"119",7,1998,56835809.7273552
"120",7,1999,55489807.3748397
"121",7,2000,52842229.9815844
"122",7,2001,50720714.2011051
"123",7,2002,49588271.5930138
"124",7,2003,50271065.1049284
"125",7,2004,53111690.9677445
"126",7,2005,52745183.3931688
"127",7,2006,52350925.0765981
"128",7,2007,42172441.4632487
"129",7,2008,39474594.5921997
"130",7,2009,45021969.3353452
"131",7,2010,49818381.4754577
"132",7,2011,53593909.3198829
"133",7,2012,54655450.5570243
"134",8,1994,221316480.140691
"135",8,1995,209698418.799447
"136",8,1996,215568616.468987
"137",8,1997,234736666.29259
"138",8,1998,241556065.049001
"139",8,1999,234537598.109608
"140",8,2000,243554476.310788
"141",8,2001,246994045.524472
"142",8,2002,240788884.887027
"143",8,2003,277269659.008829
"144",8,2004,247370792.41867
"145",8,2005,244492290.409529
"146",8,2006,222853213.820356
"147",8,2007,212136687.812165
"148",8,2008,194933461.487494
"149",8,2009,197966982.403469
"150",8,2010,208481823.613082
"151",8,2011,205464519.063968
"152",8,2012,212543879.158306
"153",9,1994,-385911558.377957
"154",9,1995,-372450513.327389
"155",9,1996,-382255822.673391
"156",9,1997,-372629747.574293
"157",9,1998,-365309262.60164
"158",9,1999,-369967359.535406
"159",9,2000,-364768110.285791
"160",9,2001,-363818740.461911
"161",9,2002,-347838116.407703
"162",9,2003,-349769939.873836
"163",9,2004,-335134331.108202
"164",9,2005,-346543083.859025
"165",9,2006,-341306236.70795
"166",9,2007,-309409319.920984
"167",9,2008,-318290517.288592
"168",9,2009,-302096707.979885
"169",9,2010,-310180583.002901
"170",9,2011,-313138796.313503
"171",9,2012,-325704088.644649
"172",10,1994,2015273.52286264
"173",10,1995,2200938.666971
"174",10,1996,2660515.74658917
"175",10,1997,2675831.8056636
"176",10,1998,3120845.58294884
"177",10,1999,3026158.03663336
"178",10,2000,2921964.27310651
"179",10,2001,2814679.20236645
"180",10,2002,2452983.79353334
"181",10,2003,2079283.9427776
"182",10,2004,1919524.25908496
"183",10,2005,2025807.22565258
"184",10,2006,2019090.96154024
"185",10,2007,1607903.90785044
"186",10,2008,1436191.13622869
"187",10,2009,1599759.69347796
"188",10,2010,1541398.06940797
"189",10,2011,1638900.16958113
"190",10,2012,1813315.17506379
"191",11,1994,7917305.71456619
"192",11,1995,8172431.20615557
"193",11,1996,8838023.28003642
"194",11,1997,8609892.34309023
"195",11,1998,9053133.03000673
"196",11,1999,10322864.6183192
"197",11,2000,11513214.3654256
"198",11,2001,11944780.5385606
"199",11,2002,12277752.374108
"200",11,2003,13627771.3605838
"201",11,2004,13647884.043382
"202",11,2005,13907651.5314468
"203",11,2006,14494763.7122619
"204",11,2007,11207790.9885863
"205",11,2008,8171836.07070974
"206",11,2009,8140129.03225372
"207",11,2010,8092249.22758791
"208",11,2011,8249946.85982145
"209",11,2012,8653315.97093861
