"category","value","year"
"fishing",520.8,2007
"fishing",531.3,2008
"fishing",540,2009
"fishing",553.2,2010
"fishing",565.5,2011
"fishing",573.2,2012
"fishing",580.8,2013
"oil_gas",18.5,2007
"oil_gas",18.9,2008
"oil_gas",19.2,2009
"oil_gas",19.7,2010
"oil_gas",20.1,2011
"oil_gas",20.4,2012
"oil_gas",20.7,2013
"mining",1.5,2007
"mining",1.5,2008
"mining",1.6,2009
"mining",1.6,2010
"mining",1.6,2011
"mining",1.6,2012
"mining",1.7,2013
"seasalt",22.4,2007
"seasalt",22.9,2008
"seasalt",23.3,2009
"seasalt",23.8,2010
"seasalt",24.4,2011
"seasalt",24.7,2012
"seasalt",25,2013
"chemical",24.1,2007
"chemical",24.6,2008
"chemical",25,2009
"chemical",25.6,2010
"chemical",24.1,2011
"chemical",26.5,2012
"chemical",26.8,2013
"biomedicine",0.9,2007
"biomedicine",0.9,2008
"biomedicine",0.9,2009
"biomedicine",1,2010
"biomedicine",1,2011
"biomedicine",1,2012
"biomedicine",1,2013
"electric",1,2007
"electric",1.1,2008
"electric",1.1,2009
"electric",1.1,2010
"electric",1.1,2011
"electric",1.2,2012
"electric",1.2,2013
"ship_building",30.8,2007
"ship_building",31.4,2008
"ship_building",31.9,2009
"ship_building",32.7,2010
"ship_building",33.4,2011
"ship_building",33.9,2012
"ship_building",34.3,2013
"egineering_arch",58,2007
"egineering_arch",59.2,2008
"egineering_arch",60.2,2009
"egineering_arch",61.6,2010
"egineering_arch",63,2011
"egineering_arch",63.9,2012
"egineering_arch",64.7,2013
"comm_transport",76,2007
"comm_transport",77.5,2008
"comm_transport",78.8,2009
"comm_transport",80.7,2010
"comm_transport",82.5,2011
"comm_transport",83.6,2012
"comm_transport",84.7,2013
"tourism",117.1,2007
"tourism",119.5,2008
"tourism",121.4,2009
"tourism",124.4,2010
"tourism",127.1,2011
"tourism",128.9,2012
"tourism",130.6,2013
"",NA,NA
