rgn_id,year,km2
1,2009,34476.69
1,2010,34476.69
1,2011,34476.69
1,2012,34476.69
2,2009,2210.31
2,2010,2210.31
2,2011,2210.31
2,2012,2210.31
3,2009,990
3,2010,990
3,2011,990
3,2012,990
4,2009,8041.11
4,2010,8041.11
4,2011,8406.51
4,2012,8534.86
5,2009,5260.75
5,2010,5260.75
5,2011,5260.75
5,2012,5307.75
6,2009,938.21
6,2010,938.21
6,2011,938.21
6,2012,938.21
7,2009,2363.41
7,2010,2372.39
7,2011,2372.39
7,2012,2683.39
8,2009,1654.83
8,2010,1654.83
8,2011,1679.7
8,2012,1875
9,2009,7856.69
9,2010,7856.69
9,2011,7894.89
9,2012,7911.6
10,2009,11907.58
10,2010,11907.58
10,2011,11942.41
10,2012,11967.53
11,2009,25650.38
11,2010,25650.38
11,2011,25650.38
11,2012,25650.38
